order_id,distance_km,prep_time_min,items_count,weather,traffic_level,time_of_day,vehicle_type,rider_experience_yrs,delivery_time_min
ORD_000001,6.77,15,2,Windy,Medium,Evening Peak,Motorcycle,3.8,35.0
ORD_000002,4.74,10,1,Clear,Low,Morning,Motorcycle,3.6,19.9
ORD_000003,4.48,20,1,Windy,Jam,Late Night,Scooter,1.6,44.6
ORD_000004,4.48,25,2,Clear,Low,Afternoon,Motorcycle,4.1,30.4
ORD_000005,11.64,10,1,Foggy,Medium,Evening Peak,Scooter,3.6,44.5
ORD_000006,7.81,20,3,Rainy,Medium,Afternoon,Motorcycle,4.7,47.7
ORD_000007,3.89,10,4,Clear,High,Evening Peak,Scooter,1.1,29.0
ORD_000008,6.93,10,2,Foggy,Medium,Afternoon,Scooter,2.9,38.3
ORD_000009,5.89,20,3,Clear,Medium,Evening Peak,Motorcycle,6.0,38.7
ORD_000010,1.59,20,1,Clear,High,Morning,Motorcycle,4.3,24.6
ORD_000011,2.78,20,2,Clear,High,Afternoon,Motorcycle,4.3,30.3
ORD_000012,6.13,25,3,Clear,Low,Evening Peak,Motorcycle,2.2,40.2
ORD_000013,11.04,10,5,Windy,Medium,Evening Peak,Motorcycle,1.0,42.5
ORD_000014,4.5,10,1,Windy,Low,Morning,Motorcycle,5.7,16.7
ORD_000015,3.72,25,3,Clear,High,Afternoon,Scooter,1.1,40.5
ORD_000016,5.47,20,3,Clear,Jam,Morning,Scooter,6.0,48.6
ORD_000017,3.59,15,3,Clear,Medium,Evening Peak,Motorcycle,1.2,24.3
ORD_000018,4.33,20,2,Heavy Storm,Medium,Late Night,Motorcycle,1.4,46.1
ORD_000019,5.09,25,8,Windy,Medium,Afternoon,Motorcycle,2.2,46.6
ORD_000020,2.71,20,2,Rainy,Medium,Evening Peak,Motorcycle,3.3,33.5
ORD_000021,8.03,25,2,Clear,Medium,Evening Peak,Motorcycle,4.8,45.1
ORD_000022,2.44,15,3,Clear,Medium,Morning,Scooter,5.8,23.6
ORD_000023,2.28,15,1,Windy,Low,Evening Peak,Scooter,2.5,29.4
ORD_000024,5.74,25,2,Clear,Low,Evening Peak,Electric Bike,0.6,40.5
ORD_000025,7.69,20,2,Clear,High,Evening Peak,Electric Bike,3.9,54.6
ORD_000026,5.66,15,1,Clear,High,Morning,Motorcycle,4.4,36.3
